"","screenName","text","retweetCount","favoriteCount","score","absolute_score","lon","lat"
"1","__Chhiiccaaa__","RT @sara8smiles: Hello! Is anybody home? 
#Research #DirectedEnergyWeapons 
#CaliforniaFires #CaliforniaWildfires 
Found on FB. https://t.c‚Ä¶",65,0,0,0,-121.8863286,37.3382082
"2","_20below","RT @kristenhinkson: Look at this!!! #CaliforniaFires https://t.co/e5NdaZMYVM",1,0,0,0,-91.900483,36.679752
"3","_America_First","@AdamSchiffCA family history opens the past financing a Foreign War: Jacob H. Schiff
#MAGA #QAnon #CaliforniaFires 
https://t.co/HeFgFneBZE",6,7,0,0,-75.136635,39.961152
"4","_biker_chick_","RT @VCFD_PIO: #ThomasFire #CaliforniaFires #VenturaFire For more info visit the Vons on Harbor or Starbucks located at 607 E. Main St.",11,0,0,0,-95.712891,37.09024
"11","_pamcampos","RT @WhiskeyBravoLA: What would it take for us to not default to business as usual? 
Ì†ºÌºéÌ†ΩÌ±©Ì†ºÌøΩ‚ÄçÌ†ΩÌ∫íÌ†ΩÌ¥•
#climatecrisis #CaliforniaFires",1,0,0,0,-74.0059728,40.7127753
"16","_Ranee_","RT @rgaut999: Into the fiery belly of the beast at the #lilac fire #CaliforniaFires https://t.co/ahIEwB1OvO",391,0,1,1,-119.4179324,36.778261
"17","_Ranee_","RT @ChrisCBS4: Wow!!! The #CALIFORNIAFIRES ... These cams come from this site. https://t.co/LXsn0DDyf4 https://t.co/bWhdq68BnP",37,0,1,1,-119.4179324,36.778261
"18","_Ranee_","RT @CalFireUpdates: Thank you firefighters! #CaliforniaFires #CaliforniaWildfires",9,0,1,1,-119.4179324,36.778261
"19","_SamuelJay","RT @VCFD_PIO: #ThomasFire #CaliforniaFires Progression Map 12-12-17 https://t.co/7dcDaUctXV",41,0,0,0,-119.1390642,34.3704884
"23","00Lilac_Sky00","Maybe before Republicans try to pass their greedy #Taxscambill instead of giving so much to the millionaires &amp; bill‚Ä¶ https://t.co/ytZ19kl8zW",0,0,-1,1,-74.0059728,40.7127753
"27","1123amyd","RT @DineshDSouza: Isn‚Äôt God scorching your butt right about now? #CaliforniaFires https://t.co/2obCVLzAQW",934,0,0,0,-77.9447102,34.2257255
"29","18or262","RT @OneGreenPlanet: Simple Ways You Can Help #Animals Affected By the Devastating #CaliforniaFires https://t.co/v4wGMqYNiD #Pets https://t.‚Ä¶",28,0,-1,1,-119.4179324,36.778261
"30","1942sretko","RT @GretaAstpc: #CaliforniaFires Emergency Ì†ΩÌ¥•
@AHWFoundation #MarcChing on the field to help families and their #animals 
Rescuing #cats #do‚Ä¶",49,0,0,0,-74.0059728,40.7127753
"31","1960weave","RT @TaggartRehnn: In case anyone at WH DC gives a flying water bomber, #CaliforniaFires #Californiawildfire #CALIFORNIAFIRE could have used‚Ä¶",11,0,0,0,-95.712891,37.09024
"33","1BaseballNerd","@latimes For all those who are #MAGA, the current #TrumpTaxScam #GOPTAxScam #GOPTaxBill that would be signed gives‚Ä¶ https://t.co/irC6fJliLJ",2,2,0,0,-94.1265562,30.080174
"34","1BaseballNerd","@MichaelSLinden For all those who are #MAGA, the current #TrumpTaxScam #GOPTAxScam #GOPTaxBill that would be signed‚Ä¶ https://t.co/Eq3oEg1WQA",6,4,0,0,-94.1265562,30.080174
"37","1feralkat","RT @MKCBA: Thanks to all the firefighters and law enforcement. Ì†ΩÌπèÌ†ΩÌ≤ïÌ†ΩÌπèÌ†ΩÌ≤ûÌ†ΩÌ¥•Ì†ΩÌ±ÆÌ†ΩÌ±∑Ì†ºÌøΩ‚Äç‚ôÄÔ∏èÌ†ΩÌ±ÆÌ†ºÌøæ‚Äç‚ôÄÔ∏èÌ†ΩÌ±®‚ÄçÌ†ΩÌ∫íÌ†ΩÌ±©‚Äç‚úàÔ∏èÌ†ΩÌ±©Ì†ºÌøæ‚ÄçÌ†ΩÌ∫íÌ†ΩÌ±∑Ì†ΩÌ≤ìÌ†ΩÌ±çÌ†ΩÌ≤Ø#CaliforniaFires #ThomasFire santa barbara #s‚Ä¶",4,0,0,0,-121.3414165,43.9658676
"38","1WINLeadership","Please share this Emergency Information with anyone who is impacted by the #CaliforniaFires   We want everyone to b‚Ä¶ https://t.co/1iE8VuXDRm",0,1,-1,1,-95.712891,37.09024
"40","24CarlyS119","https://t.co/RiyONwLTvN

#Ban #horseracing
#CaliforniaFires 

These #horsesoftwitter would never have  died except‚Ä¶ https://t.co/YFeWYLd841",0,0,-1,1,-76.2874927,36.7682088
"46","44magnoda","RT @Ollyollyoxinfre: California's @JerryBrownGov  blames fires on #climatechange   for the #CaliforniaFires ! Ì†ΩÌ∏ÇÌ†æÌ¥£Ì†æÌ¥óÌ†ΩÌ∏ÅÌ†ΩÌ∏ÖÌ†ΩÌ∏ÜÌ†ΩÌ∏ÇÌ†ΩÌ∏ÜÌ†æÌ¥óÌ†ΩÌ∏ÇÌ†ΩÌ∏Ö
BRAINIAC RIGHT TH‚Ä¶",105,0,0,0,-105.7820674,39.5500507
"48","4CherHL","California Wildfires Threaten Celebrity Homes In Carpinteria And Montecito ‚Äì Evacuations Ordered ‚Äì Deadline‚Ä¶ https://t.co/DdEkDvr12w",0,0,-1,1,-114.7420408,44.0682019
"50","4THEBEEZ2","RT @llamas4MAGA: SOSÌ†ΩÌ¥•Ì†ΩÌ∞àÌ†ΩÌ∞©Ì†æÌ∂äÌ†ΩÌ∞ëÌ†ΩÌ∞ñÌ†ΩÌ∞ÆÌ†ΩÌ∞êÌ†ΩÌ∞≠Ì†ΩÌ∞£Ì†ΩÌ∞ìÌ†ΩÌ∞øÌ†ΩÌ∞áÌ†ΩÌ∞æÌ†ΩÌ∞¶Ì†æÌ∂ÜÌ†æÌ∂ÖÌ†ΩÌ∞¢Ì†æÌ∂â #CaliforniaFires #fires #wildfires #animals #pets #wildlife #horses #dogs #cats #rabbits #birds nee‚Ä¶",21,0,0,0,-83.0431019,42.3187398
"51","5mart_Vet","@ABC7 @benshapiro #Trumpdidntstartthefire Chelsea wearing a (facts.) t-shirt!  Crazy #CaliforniaFires Is‚Ä¶ https://t.co/boufBhVIBk",0,0,-1,1,-82.907123,40.4172871
"54","7UMMIT","Thomas Fire Grows to 230,000 Acres, Becomes 5th Biggest in California's History https://t.co/QqWVlXnjR0‚Ä¶ https://t.co/xxoyRK1LNd",0,0,0,0,-79.3831843,43.653226
"55","7UMMIT","Thomas Fire Grows to 230,000 Acres, Becomes 5th Biggest in California's History https://t.co/QqWVlXnjR0 ‚Ä¶‚Ä¶ https://t.co/KkdfOelf1d",2,0,0,0,-79.3831843,43.653226
"56","7UMMIT","Thomas Fire Grows to 230,000 Acres, Becomes 5th Biggest in California's History https://t.co/QqWVlXnjR0‚Ä¶ https://t.co/nmnEgvmS6y",2,1,0,0,-79.3831843,43.653226
"57","929KJEE","RT @VCFD_PIO: #ThomasFire #CaliforniaFires SANTA BARBARA HUMANE SOCIETY IS OPEN FOR SMALL ANIMAL SHELTERING
 https://t.co/68y7JRsvvb",44,0,1,1,-119.6981901,34.4208305
"58","99vance","RT @flightradar24: The @GlobalSuperTank 747 back in the air in California. #CaliforniaFires 

https://t.co/YaaPfTgRHk https://t.co/p2sDM8NI‚Ä¶",27,0,0,0,-76.653785,40.276458
"59","A_Hannan_Ismail","RT @Britanniacomms: Live footage from car dashboard of #CaliforniaFires looks like a scene from Dante's Inferno #CaliforniaWildfires #Trave‚Ä¶",86,0,1,1,-93.4371282,44.9722862
"61","AandETodayNews","This is a car windshield in Santa Barbara! #CaliforniaWildfires #CaliforniaFires #santaanawinds  https://t.co/0kKtYGXpm3",0,0,0,0,-95.712891,37.09024
"67","abemora1","RT @VCFD_PIO: #ThomasFire #CaliforniaFires Today the goal is to go direct on the fire on the west side, use the 2016 Ray Fire scar to help‚Ä¶",66,0,-1,1,-119.6981901,34.4208305
"68","abracadabraNY","RT @VCFD_PIO: #ThomasFire footprint (230,500 acres).Currently the 5th largest in #CaliforniaFires history. It grew 50K last night. https://‚Ä¶",92,0,0,0,-122.6242966,45.5345536
"69","abrarkazii","These fires need to calm down, we are in need for some serious rain as well. #ThomasFire #CaliforniaFires",0,1,2,2,-119.4179324,36.778261
"73","AbyGrab0n","RT @sara8smiles: Hello! Is anybody home? 
#Research #DirectedEnergyWeapons 
#CaliforniaFires #CaliforniaWildfires 
Found on FB. https://t.c‚Ä¶",65,0,0,0,-99.9018131,31.9685988
"74","ActforUSA","@Kambearoz_rocky I hope you are safe from the #CaliforniaFires from #HoustonStrong Fire and Water Killers.",0,0,1,1,-95.3698028,29.7604267
"75","action","What is the extreme ""purple wind"" at the heart of California's #wildfires? Learn more about these unprecedented con‚Ä¶ https://t.co/i49pZDjwQN",2,2,0,0,-73.9712488,40.7830603
"76","action","These racehorses were trying to escape the #wildfires. Learn more and #TakeAction for victims of the‚Ä¶ https://t.co/DynJPM1eOu",1,1,0,0,-73.9712488,40.7830603
"83","AdamExler","RT @IAmAnnaBauer: The #ThomasFire as seen from my @SouthwestAir flight threatening #Carpinteria. @NBCNews @NBCLA @KTLA #CaliforniaFires htt‚Ä¶",7,0,-1,1,-118.2436849,34.0522342
"84","adamjohnstonwpg","RT @DavidOulton: I hope all my Los Angeles friends are keeping safe. We Albertans know how scary a wildfire is! 
#CAFires #CaliforniaFires‚Ä¶",3,0,0,0,-97.1383744,49.895136
"88","AEGISAllianceTM","#Nestl√© #Exposed - Is a Key Contributing Factor to #CaliforniaWildfires. #CaliforniaFires @riseagainst‚Ä¶ https://t.co/WvSep33Bty",1,0,0,0,-119.4179324,36.778261
"89","AFFA332","It's unreal what our Brothers and Sisters in California are battling right now, many of which are fighting these fi‚Ä¶ https://t.co/hEDbMc5iaa",1,5,2,2,-82.5514869,35.5950581
"90","AfricanWoman14","RT @shishnfips: Ì†ΩÌ¥•#CALIFORNIAFIRES EMERGENCYÌ†ΩÌ¥• 

#MarcChing .@AHWFoundation ON THE GROUND RESCUING #ANIMALS CAUGHT UP IN THIS TRAGEDY

‚ù§Ô∏èTHAN‚Ä¶",40,0,0,0,-80.2010634,26.7086351
"91","AfricanWoman14","RT @llamas4MAGA: SOSÌ†ΩÌ¥•Ì†ΩÌ∞àÌ†ΩÌ∞©Ì†æÌ∂äÌ†ΩÌ∞ëÌ†ΩÌ∞ñÌ†ΩÌ∞ÆÌ†ΩÌ∞êÌ†ΩÌ∞≠Ì†ΩÌ∞£Ì†ΩÌ∞ìÌ†ΩÌ∞øÌ†ΩÌ∞áÌ†ΩÌ∞æÌ†ΩÌ∞¶Ì†æÌ∂ÜÌ†æÌ∂ÖÌ†ΩÌ∞¢Ì†æÌ∂â #CaliforniaFires #fires #wildfires #animals #pets #wildlife #horses #dogs #cats #rabbits #birds nee‚Ä¶",21,0,0,0,-80.2010634,26.7086351
"92","AfricanWoman14","RT @DowneyGina: Help the @HSVC_OJAI rescuing #wildfire animals. #fires #californiafires #ojai #horses #rabbits #cats #dogs #goats #cows htt‚Ä¶",12,0,0,0,-80.2010634,26.7086351
"94","ahtherefulla","@stugillard It truly is tragic. God bless you all! #CaliforniaFires",0,1,0,0,-74.0059728,40.7127753
"95","ai6yrham","RT @VCFD_PIO: #ThomasFire #CaliforniaFires Incident Update 12-12-17 7am https://t.co/u1VhM8rwMN",24,0,0,0,-118.9070887,34.1805403
"96","AirForceReserve","When the nation needs us to help fight #wildfires, that's what we do! Our resources can be activated to aid civilia‚Ä¶ https://t.co/KeUjgsxIqu",3,22,0,0,-95.712891,37.09024
"110","Alicia46146936","RT @Ollyollyoxinfre: California's @JerryBrownGov  blames fires on #climatechange   for the #CaliforniaFires ! Ì†ΩÌ∏ÇÌ†æÌ¥£Ì†æÌ¥óÌ†ΩÌ∏ÅÌ†ΩÌ∏ÖÌ†ΩÌ∏ÜÌ†ΩÌ∏ÇÌ†ΩÌ∏ÜÌ†æÌ¥óÌ†ΩÌ∏ÇÌ†ΩÌ∏Ö
BRAINIAC RIGHT TH‚Ä¶",105,0,0,0,-81.5157535,27.6648274
"111","allaboardfun",".@Amtrak_CA PacSurfliner &amp; Coast Starlight #trains resume regular service, no stop in #SantaBarbara‚Ä¶ https://t.co/aNOvrbraRI",0,1,0,0,-118.2436849,34.0522342
"112","allenvollbrecht","RT @ifuaskmee: NO Words From The White House. #California #CaliforniaFires #CaliforniaWildfires #CNNSOTU #PoliticsNation #AMJoy #MeetThePre‚Ä¶",52,0,0,0,-116.419389,34.9592083
"114","allyseale","We woke up to a Martian sky yesterday. It stayed this way all day. Today is marginally better. We are @ 90 miles no‚Ä¶ https://t.co/m7D0kH3SS2",0,2,0,0,-119.4691728,36.691415
"115","Alma_Delphinus","I've seen some wildfires but never to the extent of #CaliforniaFires ! My thoughts are with everyone there affected by the fires. Stay safe!",0,0,1,1,-84.929673,32.524608
"116","amandakmelby","RT @VCFD_PIO: #ThomasFire #CaliforniaFires SANTA BARBARA HUMANE SOCIETY IS OPEN FOR SMALL ANIMAL SHELTERING
 https://t.co/68y7JRsvvb",44,0,1,1,-120.672395,35.1552532
"117","AmandaThomas6","RT @thedailyjaws: Stay safe out there #CALIFORNIAFIRE #CaliforniaFires #Californiawildfire https://t.co/nAT1fgeUSb",37,0,1,1,-93.2277285,44.97399
"120","americankeith","Governor ""Moon Beam"" blames devastating #CaliforniaFires on climate change

As usual the bobble heads liberals agree https://t.co/DvKZWeSieR",0,0,-1,1,-80.9020237,34.5751447
"126","AmyMeganMeredi1","RT @rgaut999: Into the fiery belly of the beast at the #lilac fire #CaliforniaFires https://t.co/ahIEwB1OvO",391,0,1,1,-96.8236116,33.1506744
"127","anaelisafoto","#Water Please conserve #California #ThomasFire #CaliforniaFires https://t.co/vmNqfxYX5c",3,2,0,0,-72.6507432,41.562773
"130","anauburntiger","As a pilot, that is some serious barnstorming... #CaliforniaFires https://t.co/d3DCHeOl79",0,1,0,0,-76.0504948,42.0867297
"131","anblanx","RT @VCFD_PIO: #ThomasFire footprint (230,500 acres).Currently the 5th largest in #CaliforniaFires history. It grew 50K last night. https://‚Ä¶",92,0,0,0,-118.2436849,34.0522342
"134","andrew_pancroft","Hoping @chelseahandler House is burned to the ground in the #CaliforniaFires Funny thing, this stupid piece of shit‚Ä¶ https://t.co/7Jnbak7eV6",0,0,-4,4,-102.4107493,34.2331373
"136","andybrwn","RT @VCFD_PIO: #ThomasFire #CaliforniaFires Incident Update 12-12-17 7am https://t.co/u1VhM8rwMN",24,0,0,0,-121.4557047,38.5699914
"140","angelryan3510","RT @ZoraSuleman: OMG I love this guy ... he pulled over to save a bunny from the #CaliforniaFires Ì†ΩÌ∞∞ #ThomasFire https://t.co/IC2ufvs8My",188,0,0,0,-81.5157535,27.6648274
"141","angelsavant","RT @politraven: anyone know anything about this? VERY weird (watch vid): https://t.co/vBDCWMtYDV 
#CaliforniaFires #CaliFires #CaliforniaWi‚Ä¶",21,0,-1,1,-98.340683,29.450857
"142","angelsbbbd","My prayers are with you @TheEllenShow and all in #CaliforniaFires x https://t.co/HRxtX6zi14",0,1,0,0,-118.413944,34.0594689
"143","angelx1992","I have family by the #LilacFire . I hope everyone out there is ok.  

#CaliforniaFires #CaliforniaWildfires",0,2,0,0,-117.1610838,32.715738
"145","AnjelMarketing","County of #SantaBarbara #ThomasFire Infomation and Updates #CaliforniaWildfires #CaliforniaFires #naturaldisasters‚Ä¶ https://t.co/AZDUSCY4uM",1,0,0,0,-77.0368707,38.9071923
"146","AnjelMarketing","Thomas Fire surpasses 200,000 acres #SantaBarbara #ThomasFire #CaliforniaWildfires #CaliforniaFires‚Ä¶ https://t.co/tckDCOGqle",0,0,0,0,-77.0368707,38.9071923
"147","anjozonneveld","RT @Britanniacomms: Live footage from car dashboard of #CaliforniaFires looks like a scene from Dante's Inferno #CaliforniaWildfires #Trave‚Ä¶",86,0,1,1,-80.3144276,43.3616211
"148","annafromhome","RT @VCFD_PIO: #ThomasFire #CaliforniaFires The red flag warning has again been extended to 8:00 PM Wednesday evening over the LA and Ventur‚Ä¶",48,0,-1,1,-119.2290316,34.274646
"149","Annalicia_Faith","RT @NickyHilton: Note to #CaliforniaFires residents https://t.co/DNgD5nYAqU",811,0,0,0,-73.959494,42.2146071
"151","anndavisgarvin","RT @gmcheeseman: Amid Worst Winter #Wildfires in #California History, #Farmworkers Are Laboring in Hazardous Air. #CaliforniaFires  https:/‚Ä¶",7,0,-2,2,-85.6023643,44.3148443
"152","AnneArvizu","Prayers for all those effected by the #ThomasFire and for all the firefighters who have been exhausted for 2 weeks‚Ä¶ https://t.co/JazjAadsH5",1,4,-1,1,-80.6278364,24.9242943
"156","annvandersteel","RT @DineshDSouza: Isn‚Äôt God scorching your butt right about now? #CaliforniaFires https://t.co/2obCVLzAQW",934,0,0,0,-95.712891,37.09024
"157","Anon6_NvrForget","RT @SlicksTweetz: #CaliforniaWildfires #CaliforniaFires #CalFire

Evidence-Patent for High-Energy #Microwave Pulse Weapon may be responsibl‚Ä¶",75,0,0,0,-77.0044398,38.8906424
"158","AntAction1News","RT @VCFD_PIO: #ThomasFire #CaliforniaFires SANTA BARBARA HUMANE SOCIETY IS OPEN FOR SMALL ANIMAL SHELTERING
 https://t.co/68y7JRsvvb",44,0,1,1,-118.2436849,34.0522342
"159","AntAction1News","RT @VCFD_PIO: #ThomasFire #CaliforniaFires See link for Los Padres National Forest Condor Sanctuary https://t.co/GoV9VxN5Oj",12,0,0,0,-118.2436849,34.0522342
"162","AnthonyPraseuth","RT @Truthdig: When will humans learn? Nothing is more powerful than the natural world. #CaliforniaFires #MotherNature https://t.co/KxYMQZXa‚Ä¶",29,0,1,1,-114.0708459,51.0486151
"164","apachegirl29","RT @PenelopeRuzy: Horses being freed to be saved from California fires......Thanks Ì†ΩÌ±èÌ†ΩÌ±è

#CaliforniaFires #CaliforniaWildfires #animalrescue‚Ä¶",54,0,0,0,-79.0192997,35.7595731
"166","april_wefler","Just found out that the #Californiafires have headed towards Santa Barbara. I grew up an hour away in Nipomo and it‚Ä¶ https://t.co/Hpo3EbTPBL",0,1,0,0,-91.8318334,37.9642529
"168","ArchitectureGS","Upper East Side Townhouse in Contract for a Record $80 Million.   #realestate #CaliforniaFires #BeverlyHills90210  https://t.co/L4vNLZd2Di",0,1,0,0,-118.2436849,34.0522342
"170","ARCSteveWalsh","Raising money for @RedCross to help those affected by #CaliforniaFires. Call to donate: 916-443-8255 https://t.co/Db5iYb061C",0,0,0,0,-121.1760583,38.6779591
"173","AriannaBSophia","RT @VCFD_PIO: #ThomasFire footprint (230,500 acres).Currently the 5th largest in #CaliforniaFires history. It grew 50K last night. https://‚Ä¶",92,0,0,0,-122.0307963,36.9741171
"174","ariba_ahmed","The sky at sunrise in #SantaMaria #CaliforniaFires https://t.co/Ib89Tu0QTq",0,1,0,0,-119.4691728,36.691415
"175","arieltmma","RT @VCFD_PIO: #ThomasFire footprint (230,500 acres).Currently the 5th largest in #CaliforniaFires history. It grew 50K last night. https://‚Ä¶",92,0,0,0,-111.9101108,33.4066194
"176","arieltmma","RT @VCFD_PIO: #ThomasFire #CaliforniaFires Incident Update 12-12-17 7am https://t.co/u1VhM8rwMN",24,0,0,0,-111.9101108,33.4066194
"177","ArizonaMorgan1","#trump wants #war bet if he had 2 B out there himself #war would not B his battle cry Ì†ΩÌ∏ï #God bless th frntliners #Soldiers #CaliforniaFires",0,0,0,0,-118.2436849,34.0522342
